<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Ablon 14001
Saint-Vigor-le-Grand 14663
Sainte-Croix-Grand-Tonne 14568
Sainte-Croix-sur-Mer 14569
Sainte-Foy-de-Montgommery 14576
Sainte-Honorine-de-Ducy 14590
Sainte-Honorine-des-Pertes 14591
Sainte-Honorine-du-Fay 14592
Sainte-Marguerite-d'Elle 14614
Sainte-Marguerite-de-Viette 14616
Sainte-Marguerite-des-Loges 14615
Sainte-Marie-aux-Anglais 14617=14422
Sainte-Marie-Laumont 14618
Sainte-Marie-Outre-l'Eau 14619
Sallen 14664
Sallenelles 14665
Sannerville 14666
Saon 14667
Saonnet 14668
Sassy 14669
Secqueville-en-Bessin 14670
Sept-Frères 14671
Sept-Vents 14672
Sermentot 14673=14011
Soignolles 14674
Soliers 14675
Sommervieu 14676
Soulangy 14677
Soumont-Saint-Quentin 14678
Subles 14679
Sully 14680
Surrain 14681
Surville 14682
Tailleville 14683=14228
Tessel 14684
Thaon 14685
Thiéville 14688
Thury-Harcourt 14689
Tierceville 14690
Tilly-la-Campagne 14691
Tilly-sur-Seulles 14692
Tordouet 14693
Torteval-Quesnay 14695
Tortisambert 14696
Touffréville 14698
Touques 14699
Tour-en-Bessin 14700
Tourgéville 14701
Tournay-sur-Odon 14702
Tournebu 14703
Tournières 14705
Tourville-en-Auge 14706
Tourville-sur-Odon 14707
Tracy-Bocage 14708
Tracy-sur-Mer 14709
Tréprel 14710
Trévières 14711
Troarn 14712
Trois-Monts 14713
Trouville-sur-Mer 14715
Trungy 14716
Truttemer-le-Grand 14717
Truttemer-le-Petit 14718
Urville 14719
Ussy 14720
Vacognes-Neuilly 14721
Valsemé 14723
Varaville 14724
Vasouy 14725=14333
Vassy 14726
Vaubadon 14727
Vaucelles 14728
Vaudeloges 14729
Vaudry 14730
Vauville 14731
Vaux-sur-Aure 14732
Vaux-sur-Seulles 14733
Vendes 14734
Vendeuvre 14735
Venoix 14736=14118
Ver-sur-Mer 14739
Versainville 14737
Verson 14738
Vicques 14742
Victot-Pontfol 14743
Vienne-en-Bessin 14744
Vierville-sur-Mer 14745
Viessoix 14746
Vieux 14747
Vieux-Bourg 14748
Vieux-Fumé 14749
Vieux-Pont-en-Auge 14750
Vignats 14751
Villers-Bocage 14752
Villers-Canivet 14753
Villers-sur-Mer 14754
Villerville 14755
Villiers-le-Sec 14757
Villons-les-Buissons 14758
Villy-Bocage 14760
Villy-lez-Falaise 14759
Vimont 14761
Vire 14762
Vouilly 14763
