<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Poissy 78498
Ponthévrard 78499
Pontoise 78500=95500
Porcheville 78501
Port-Villez 78503
Presles 78504=95504
Prunay-en-Yvelines 78506
Prunay-le-Temple 78505
Prunay-sur-Essonne 78507=91507
Puiselet-le-Marais 78508=91508
Puiseux-en-France 78509=95509
Puiseux-Pontoise 78510=95510
Pussay 78511=91511
Quincy-sous-Sénart 78514=91514
Raizeux 78516
Rambouillet 78517
Rennemoulin 78518
Richarville 78519=91519
Richebourg 78520
Ris-Orangis 78521=91521
Rochefort-en-Yvelines 78522
Rocquencourt 78524
Roinville 78525=91525
Roinvilliers 78526=91526
Roissy-en-France 78527=95527
Rolleboise 78528
Ronquerolles 78529=95529
Rosay 78530
Rosny-sur-Seine 78531
Rueil-Malmaison 78532=92063
Saclas 78533=91533
Saclay 78534=91534
Sagy 78535=95535
Sailly 78536
Saint-Arnoult-en-Yvelines 78537
Saint-Aubin 78538=91538
Saint-Brice-sous-Forêt 78539=95539
Saint-Chéron 78540=91540
Saint-Clair-sur-Epte 78541=95541
Saint-Cloud 78542=92064
Saint-Cyr-en-Arthies 78543=95543
Saint-Cyr-l'École 78545
Saint-Cyr-la-Rivière 78544=91544
Saint-Cyr-sous-Dourdan 78546=91546
Saint-Escobille 78547=91547
Saint-Forget 78548
Saint-Germain-de-la-Grange 78550
Saint-Germain-en-Laye 78551
Saint-Germain-lès-Arpajon 78552=91552
Saint-Germain-lès-Corbeil 78553=91553
Saint-Gervais 78554=95554
Saint-Gratien 78555=95555
Saint-Hilaire 78556=91556
Saint-Hilarion 78557
Saint-Illiers-la-Ville 78558
Saint-Illiers-le-Bois 78559
Saint-Jean-de-Beauregard 78560=91560
Saint-Lambert 78561
Saint-Léger-en-Yvelines 78562
Saint-Leu-la-Forêt 78563=95563
Saint-Martin-de-Bréthencourt 78564
Saint-Martin-des-Champs 78565
Saint-Martin-du-Tertre 78566=95566
Saint-Martin-la-Garenne 78567
Saint-Maurice-Montcouronne 78568=91568
Saint-Michel-sur-Orge 78570=91570
Saint-Nom-la-Bretèche 78571
Saint-Ouen-l'Aumône 78572=95572
Saint-Pierre-du-Perray 78573=91573
Saint-Prix 78574=95574
Saint-Rémy-l'Honoré 78576
Saint-Rémy-lès-Chevreuse 78575
Saint-Sulpice-de-Favières 78578=91578
