<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Saint-Léger-en-Bray 60583
Saint-Leu-d'Esserent 60584
Saint-Martin-aux-Bois 60585
Saint-Martin-le-Noeud 60586
Saint-Martin-Longueau 60587
Saint-Maur 60588
Saint-Maximin 60589
Saint-Omer-en-Chaussée 60590
Saint-Paul 60591
Saint-Pierre-es-Champs 60592
Saint-Pierre-lès-Bitry 60593
Saint-Quentin-des-Prés 60594
Saint-Remy-en-l'Eau 60595
Saint-Samson-la-Poterie 60596
Saint-Sauveur 60597
Saint-Sulpice 60598
Saint-Thibault 60599
Saint-Vaast-de-Longmont 60600
Saint-Vaast-lès-Mello 60601
Saint-Valery 60602
Sainte-Eusoye 60573
Sainte-Geneviève 60575
Saintines 60578
Salency 60603
Sarcus 60604
Sarnois 60605
Sarron 60606=60509
Sauqueuse-Saint-Lucien 60607=60668
Savignies 60609
Sempigny 60610
Senantes 60611
Senlis 60612
Senots 60613
Serans 60614
Sérévillers 60615
Sérifontaine 60616
Sermaize 60617
Séry-Magneval 60618
Silly-le-Long 60619
Silly-Tillard 60620
Solente 60621
Sommereux 60622
Songeons 60623
Sully 60624
Suzoy 60625
Talmontiers 60626
Tartigny 60627
Therdonne 60628
Thérines 60629
Thibivillers 60630
Thiers-sur-Thève 60631
Thiescourt 60632
Thieuloy-Saint-Antoine 60633
Thieux 60634
Thiverny 60635
Thourotte 60636
Thury-en-Valois 60637
Thury-sous-Clermont 60638
Tillé 60639
Tourly 60640
Tracy-le-Mont 60641
Tracy-le-Val 60642
Tricot 60643
Trie-Château 60644
Trie-la-Ville 60645
Troissereux 60646
Trosly-Breuil 60647
Troussencourt 60648
Troussures 60649
Trumilly 60650
Ully-Saint-Georges 60651
Valdampierre 60652
Valescourt 60653
Vandélicourt 60654
Varesnes 60655
Varinfroy 60656
Vauchelles 60657
Vauciennes 60658
Vaudancourt 60659
Vaumoise 60661
Velennes 60663
Vendeuil-Caply 60664
Venette 60665
Ver-sur-Launette 60666
Verberie 60667
Verderel-lès-Sauqueuse 60668
Verderonne 60669
Verneuil-en-Halatte 60670
Versigny 60671
Vez 60672
Viefvillers 60673
Vieux-Moulin 60674
Vignemont 60675
Ville 60676
Villembray 60677
Villeneuve-les-Sablons 60678
Villeneuve-sur-Verberie 60680
Villers-Saint-Barthélemy 60681
Villers-Saint-Frambourg 60682
Villers-Saint-Genest 60683
